aircraftIdentifier,callSign,altitude,groundSpeed,ingestDateTime,latitude,longitude,messageDateTime,squawkCode,verticalClimbRate,track,aircraftType
3C6707,DLH413,7200,298,1549005146793,40.73712,-74.081,1549005141006,3325,3008,80,A359
3C6707,DLH413,7525,298,1549005153561,40.73893,-74.06758,1549005146798,3325,2816,80,A359
3C6707,DLH413,7675,301,1549005157718,40.73921,-74.06558,1549005153783,3325,2176,80,A359
3C6707,DLH413,7925,303,1549005164594,40.7417,-74.04767,1549005158319,3325,1984,80,A359
3C6707,DLH413,8100,305,1549005169624,40.74294,-74.03849,1549005164653,3325,1984,80,A359
3C6707,DLH413,8150,306,1549005172512,40.74344,-74.03485,1549005170225,3325,1984,80,A359
3C6707,DLH413,8300,308,1549005176120,40.74367,-74.03308,1549005172567,3325,1600,80,A359
3C6707,DLH413,8450,310,1549005183498,40.74641,-74.01294,1549005176723,3325,960,80,A359
3C6707,DLH413,8450,311,1549005184430,40.74662,-74.01115,1549005183605,3325,960,80,A359
3C6707,DLH413,8500,311,1549005188253,40.74736,-74.00578,1549005184809,3325,1088,80,A359
3C6707,DLH413,8650,312,1549005195296,40.7489,-73.99417,1549005188301,3325,1024,80,A359
3C6707,DLH413,8900,311,1549005211459,40.75374,-73.96252,1549005195787,3325,1024,72,A359
3C6707,DLH413,8950,309,1549005213914,40.75537,-73.9564,1549005211460,3325,1024,68,A359
3C6707,DLH413,8975,308,1549005215663,40.7556,-73.95553,1549005214190,3325,1024,65,A359
3C6707,DLH413,9000,307,1549005216861,40.75639,-73.95319,1549005215712,3325,1024,63,A359
3C6707,DLH413,9050,305,1549005219753,40.75709,-73.95135,1549005216923,3325,1024,58,A359
3C6707,DLH413,9075,303,1549005221123,40.76016,-73.94454,1549005220517,3325,1088,56,A359
3C6707,DLH413,9350,297,1549005235169,40.7737,-73.92627,1549005221229,3325,1152,43,A359
3C6707,DLH413,9500,298,1549005239473,40.77791,-73.92157,1549005235212,3325,2240,41,A359
3C6707,DLH413,9600,300,1549005243184,40.78116,-73.91785,1549005239851,3325,2048,41,A359
3C6707,DLH413,9650,300,1549005244112,40.78221,-73.91656,1549005243350,3325,1984,41,A359
3C6707,DLH413,9800,303,1549005249025,40.78307,-73.91558,1549005244386,3325,2048,42,A359
3C6707,DLH413,9850,304,1549005249849,40.78833,-73.90946,1549005249080,3325,2048,42,A359
3C6707,DLH413,9900,304,1549005251593,40.79033,-73.90703,1549005250124,3325,1984,43,A359
3C6707,DLH413,10125,313,1549005259896,40.79247,-73.90441,1549005251650,3325,1152,43,A359
3C6707,DLH413,10200,313,1549005263176,40.80295,-73.89148,1549005259898,3325,1088,44,A359
3C6707,DLH413,10300,321,1549005270335,40.81058,-73.88181,1549005263333,3325,960,44,A359
3C6707,DLH413,10400,332,1549005276180,40.81471,-73.87646,1549005271535,3325,1024,44,A359
3C6707,DLH413,10700,349,1549005292990,40.83148,-73.85478,1549005276553,3325,1024,45,A359
3C6707,DLH413,10775,354,1549005297742,40.8413,-73.84192,1549005293647,3325,1088,45,A359
3C6707,DLH413,12025,384,1549005344054,40.85934,-73.81842,1549005298125,3325,1280,44,A359
3C6707,DLH413,12275,389,1549005353668,40.90466,-73.75959,1549005344550,3325,1920,44,A359
3C6707,DLH413,12375,390,1549005356398,40.91359,-73.74799,1549005353718,3325,2112,44,A359
3C6707,DLH413,12675,392,1549005364047,40.91991,-73.73987,1549005359457,3325,2240,44,A359
3C6707,DLH413,12775,392,1549005367112,40.9276,-73.72998,1549005364484,3325,2112,44,A359
3C6707,DLH413,13100,402,1549005381902,40.93291,-73.72314,1549005367492,3325,832,44,A359
3C6707,DLH413,13575,407,1549005399167,40.96522,-73.68149,1549005382450,3325,2304,45,A359
3C6707,DLH413,13950,408,1549005407799,40.98017,-73.66214,1549005400810,3325,2240,45,A359
3C6707,DLH413,14200,409,1549005413803,40.9899,-73.64954,1549005408937,3325,2304,45,A359
3C6707,DLH413,14700,419,1549005432366,41.01297,-73.61975,1549005415324,3325,1536,44,A359
3C6707,DLH413,14975,421,1549005441932,41.02863,-73.59947,1549005435042,3325,1728,44,A359
3C6707,DLH413,15250,423,1549005449018,41.03847,-73.58673,1549005442690,3325,2368,45,A359
3C6707,DLH413,15450,425,1549005454978,41.04657,-73.57574,1549005449513,3325,1984,47,A359
3C6707,DLH413,15625,430,1549005460603,41.05412,-73.5647,1549005456725,3325,1344,49,A359